Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps,Remaining_Days,Goal_Distance,Goal_Time,Fatigue
Running,4/2/20 16:13,Cherry Hill Running,3.7,319,0:28:10,137,148,170,176,7:37,6:23,81,88,1.25,05:17.2,4,579,42195,12632,36.917212167858914
Running,4/1/20 16:44,Cherry Hill Running,4.28,400,0:32:46,148,175,168,174,7:40,6:28,106,111,1.25,02:07.2,5,422,42195,12632,27.939455386021816
Running,3/31/20 17:22,Cherry Hill Running,4.8,496,0:39:06,152,161,170,180,8:09,7:02,146,150,1.17,06:38.3,5,469,42195,12632,20.297092523202963
Running,3/29/20 16:27,Cherry Hill Running,4.0,383,0:29:25,157,183,170,176,7:21,6:18,143,149,1.29,00:02.0,5,617,42195,12632,9.014276998549542
Running,3/27/20 15:46,Cherry Hill Running,3.02,285,0:22:18,156,168,170,176,7:24,6:25,86,91,1.28,00:06.2,4,348,42195,12632,92.82625652913052
Running,3/26/20 16:47,Cherry Hill Running,4.63,464,0:36:24,156,175,168,176,7:51,6:49,149,155,1.22,04:38.0,5,308,42195,12632,68.59909704017312
Running,3/25/20 17:08,Cherry Hill Running,2.02,189,0:15:41,146,153,170,180,7:47,6:21,89,79,1.22,00:06.9,3,435,42195,12632,40.728969936320205
Running,3/24/20 18:07,Cherry Hill Running,3.1,316,0:23:49,161,176,168,174,7:41,6:30,79,85,1.25,00:49.6,4,426,42195,12632,84.81762641482055
Running,3/22/20 17:26,Cherry Hill Running,3.03,316,0:23:24,160,169,168,176,7:43,7:01,79,85,1.24,00:15.3,4,358,42195,12632,15.601153102477417
Running,3/20/20 16:02,Cherry Hill Running,2.0,208,0:15:45,155,162,170,176,7:52,7:19,46,52,1.21,00:01.4,3,628,42195,12632,58.89032403378427
Running,3/19/20 16:58,Cherry Hill Running,3.5,365,0:26:33,159,176,168,176,7:36,6:43,101,101,1.26,03:57.3,4,270,42195,12632,64.10458061486113
Running,3/18/20 17:11,Cherry Hill Running,1.2,58,09:18.1,102,140,170,178,7:46,5:43,19,3,1.21,01:38.3,2,106,42195,12632,36.23809415724211
Running,2/22/20 10:19,Chicago Running,4.0,379,0:29:14,151,174,170,176,7:18,4:52,60,59,1.29,00:01.7,5,193,42195,12632,61.81920263667451
Running,1/30/20 12:34,Chicago Running,3.0,285,0:22:06,150,164,172,178,7:22,2:24,54,52,1.27,07:13.7,3,183,42195,12632,83.07866764400428
Running,11/16/19 11:26,Chicago Running,3.1,281,0:21:53,149,157,174,180,7:04,5:22,46,46,1.32,00:42.1,4,399,42195,12632,6.015170134160163
Running,11/3/19 15:38,Chicago Running,5.58,581,0:43:26,154,164,170,178,7:47,6:29,77,82,1.22,04:35.4,6,301,42195,12632,83.80323601551855
Running,11/2/19 11:25,Chicago Running,5.0,530,0:39:57,151,187,172,180,8:00,4:13,67,68,1.17,07:54.3,5,162,42195,12632,51.05657982459502
Running,10/24/19 17:04,Chicago Running,3.18,344,0:24:12,157,165,172,180,7:36,1:31,31,30,1.23,01:23.8,4,217,42195,12632,62.259676904859504
Running,10/19/19 9:52,Chicago Running,4.3,417,0:36:54,134,151,170,180,8:35,5:54,46,46,1.11,02:37.5,5,634,42195,12632,34.57030105061979
Running,10/7/19 10:37,Chicago Running,4.03,388,0:28:24,152,166,174,182,7:03,4:32,51,52,1.32,00:12.3,5,52,42195,12632,71.90540663380837
Running,10/6/19 12:33,Chicago Running,3.1,305,0:23:00,147,160,174,182,7:25,6:14,48,55,1.25,00:44.9,4,229,42195,12632,49.97036624737331
